
Место	Название фильма	Год	Режиссёр	Жанры по версии IMDb
1	Побег из Шоушенка	1994	Фрэнк Дарабонт	эпический фильм, историческая драма, тюремная драма, драма
2	Крёстный отец	1972	Фрэнсис Форд Коппола	эпический фильм, гангстерский фильм, фильм-трагедия, детектив, драма
3	Тёмный рыцарь	2008	Кристофер Нолан	эпический боевик, эпический фильм, супергеройский фильм, боевик, детектив, драма, триллер
4	Крёстный отец 2	1974	Фрэнсис Форд Коппола	эпический фильм, гангстерский фильм, фильм-трагедия, детектив, драма
5	12 разгневанных мужчин	1957	Сидни Люмет	юридическая драма, психологическая драма, детектив, драма
6	Властелин колец: Возвращение короля	2003	Питер Джексон	приключенческая киноэпопея, эпический фильм, фэнтезийная киноэпопея, горное приключение, фильм про поиск, «меч и колдовство», фильм-трагедия, приключение, драма, фэнтезийный фильм
7	Список Шиндлера	1993	Стивен Спилберг	докудрама, эпический фильм, историческая киноэпопея, историческая драма, тюремная драма, байопик, драма, исторический фильм
8	Криминальное чтиво	1994	Квентин Тарантино	чёрная комедия, фильм о наркопреступлении, гангстерский фильм, детектив, драма
9	Властелин колец: Братство Кольца	2001	Питер Джексон	приключенческая киноэпопея, эпический фильм, фэнтезийная киноэпопея, фильм про поиск, «меч и колдовство», приключение, драма, фэнтезийный фильм
10	Хороший, плохой, злой	1966	Серджо Леоне	приключенческая киноэпопея, фильм о приключениях в пустыне, эпический фильм, историческая драма, фильм про поиск, спагетти-вестерн, вестерн-киноэпопея, приключение, драма, вестерн
11	Форрест Гамп	1994	Роберт Земекис	эпический фильм, драма, романтический фильм
12	Властелин колец: Две крепости	2002	Питер Джексон	приключенческая киноэпопея, тёмное фэнтези, эпический фильм, фэнтезийная киноэпопея, фильм про поиск, «меч и колдовство», приключение, драма, фэнтезийный фильм
13	Бойцовский клуб	1999	Дэвид Финчер	психологическая драма, драма на рабочем месте, драма
14	Начало	2010	Кристофер Нолан	эпический боевик, приключенческая киноэпопея, психологический триллер, научно-фантастическая киноэпопея, боевик, приключение, научная фантастика, триллер
15	Звёздные войны. Эпизод V: Империя наносит ответный удар	1980	Ирвин Кершнер	эпический боевик, приключенческая киноэпопея, тёмное фэнтези, фэнтезийная киноэпопея, фильм про поиск, научно-фантастическая киноэпопея, фантастический фильм о космосе, «меч и колдовство», боевик, приключение
16	Матрица	1999	Энди и Ларри Вачовски	эпический боевик, фильм об искусственном интеллекте, киберпанк, антиутопия, ган-фу, фильм о боевых искусствах, научно-фантастическая киноэпопея, боевик, научная фантастика
17	Славные парни	1990	Мартин Скорсезе	докудрама, гангстерский фильм, тру-крайм, байопик, детектив, драма
18	Интерстеллар	2014	Кристофер Нолан	приключенческая киноэпопея, эпический фильм, фильм про поиск, научно-фантастическая киноэпопея, фантастический фильм о космосе, приключение, драма, научная фантастика
19	Пролетая над гнездом кукушки	1975	Милош Форман	медицинская драма, психологическая драма, драма
20	Семь	1995	Дэвид Финчер	полицейская драма, крутой детектив, юридическая драма, полицейский процедурал, психологический триллер, фильм о серийном убийце[нем.], детектив, драма, фильм-тайна, триллер
21	Эта прекрасная жизнь	1946	Фрэнк Капра	оптимистичный романтический фильм, семейный фильм о празднике, романтический фильм о празднике, психологическая драма, драма, семейный фильм, фэнтезийный фильм, фильм о празднике, романтический фильм
22	Молчание ягнят	1991	Джонатан Демми	полицейский процедурал, психологическая драма, психологический триллер, фильм о серийном убийце[нем.], детектив, драма, триллер
23	Семь самураев	1954	Акира Куросава	эпический боевик, эпический фильм, историческая драма, драма
24	Спасти рядового Райана	1998	Стивен Спилберг	эпический фильм, историческая драма, киноэпопея о войне, драма, военный фильм
25	Город Бога	2002	Фернанду Мейреллиш	капер-фильм[англ.], фильм про взросление, гангстерский фильм, детектив, драма
26	Зелёная миля	1999	Фрэнк Дарабонт	историческая драма, тюремная драма, мистический фильм, фильм-трагедия, детектив, драма, фэнтезийный фильм, фильм-тайна
27	Жизнь прекрасна	1997	Роберто Бениньи	историческая драма, фильм-трагедия, романтическая драма, кинокомедия, драма, романтический фильм, военный фильм
28	Терминатор 2: Судный день	1991	Джеймс Кэмерон	эпический боевик, фильм об искусственном интеллекте, киберпанк, антиутопия, научно-фантастическая киноэпопея, фильм о путешествиях во времени, боевик, приключение, научная фантастика
29	Звёздные войны. Эпизод IV: Новая надежда	1977	Джордж Лукас	эпический боевик, приключенческая киноэпопея, фэнтезийная киноэпопея, фильм про поиск, научно-фантастическая киноэпопея, фантастический фильм о космосе, «меч и колдовство», боевик, приключение, фэнтезийный фильм
30	Назад в будущее	1985	Роберт Земекис	остросюжетная комедия, подростковый приключенческий фильм, подростковая комедия, фильм о путешествиях во времени, фильм о городском приключении, приключение, кинокомедия, научная фантастика
31	Унесённые призраками	2001	Хаяо Миядзаки	аниме, фильм про взросление, фильм-сказка, рисованная анимация, фильм про поиск, мистический фильм, приключение, мультфильм, семейный фильм, фэнтезийный фильм
32	Пианист	2002	Роман Полански	докудрама, эпический фильм, историческая драма, фильм-трагедия, киноэпопея о войне, байопик, драма, музыкальный фильм, военный фильм
33	Гладиатор	2000	Ридли Скотт	эпический боевик, приключенческая киноэпопея, эпический фильм, историческая драма, пеплум, боевик, приключение, драма
34	Паразиты	2019	Пон Чжун Хо	чёрная комедия, K-drama, психологический триллер, фильм-трагедия, драма, триллер
35	Психо	1960	Альфред Хичкок	психологический хоррор, психологический триллер, слэшер, мистический триллер, хоррор, фильм-тайна, триллер
36	Король Лев	1994	Роджер Аллерс, Роб Минкофф	фильм о приключениях животных, фильм про взросление, рисованная анимация, фильм о приключениях в джунглях, приключение, мультфильм, драма, семейный фильм, фэнтезийный фильм, мюзикл
37	Могила светлячков	1988	Исао Такахата	взрослая анимация, аниме, рисованная анимация, историческая драма, мультфильм, драма, военный фильм
38	Отступники	2006	Мартин Скорсезе	полицейская драма, эпический фильм, гангстерский фильм, детектив, драма, триллер
39	Одержимость	2014	Дамьен Шазель	психологическая драма, драма, музыкальный фильм
40	Харакири	1962	Масаки Кобаяси	историческая драма, драма, фильм-тайна
41	Американская история Икс	1998	Тони Кэй	тюремная драма, фильм-трагедия, детектив, драма
42	Престиж	2006	Кристофер Нолан	историческая драма, стимпанк, фильм-трагедия, драма, фильм-тайна, научная фантастика, триллер
43	Леон	1994	Люк Бессон	гангстерский фильм, фильм о войне-одиночке, боевик, детектив, драма, триллер
44	Человек-паук: Паутина вселенных	2023	Жуакин Душ Сантуш[англ.], Кэмп Пауэрс[англ.], Джастин Томпсон	компьютерная анимация, супергеройский фильм, мистический фильм, подростковый приключенческий фильм, фильм о городском приключении, боевик, приключение, мультфильм, семейный фильм, фэнтезийный фильм
45	Касабланка	1942	Майкл Кёртиц	драма, романтический фильм, военный фильм
46	Подозрительные лица	1995	Брайан Сингер	гангстерский фильм, фильм-ограбление, психологическая драма, психологический триллер, мистический триллер, фильм про расследование, детектив, драма, фильм-тайна, триллер
47	1+1	2011	Оливье Накаш, Эрик Толедано	докудрама, кинокомедия, драма
48	Новый кинотеатр «Парадизо»	1988	Джузеппе Торнаторе	фильм про взросление, драма, романтический фильм
49	Чужой	1979	Ридли Скотт	киберпанк, фильм о монстрах, фантастический фильм о космосе, хоррор, научная фантастика
50	Новые времена	1936	Чарли Чаплин	буффонада, кинокомедия, драма, романтический фильм
51	Окно во двор	1954	Альфред Хичкок	мистический триллер, драма, фильм-тайна, триллер
52	Однажды на Диком Западе	1968	Серджо Леоне	фильм о приключениях в пустыне, спагетти-вестерн, вестерн-киноэпопея, драма, вестерн
53	Джанго освобождённый	2012	Квентин Тарантино	чёрная комедия, эпический фильм, историческая драма, вестерн-киноэпопея, кинокомедия, драма, вестерн
54	Огни большого города	1931	Чарли Чаплин	оптимистичный романтический фильм, романтическая комедия, буффонада, кинокомедия, драма, романтический фильм
55	Апокалипсис сегодня	1979	Фрэнсис Форд Коппола	приключенческая киноэпопея, эпический фильм, психологическая драма, фильм про поиск, киноэпопея о войне, драма, фильм-тайна, военный фильм
56	Дюна: Часть вторая	2024	Дени Вильнёв	эпический боевик, фильм о приключениях в пустыне, эпический фильм, научно-фантастическая киноэпопея, фантастический фильм о космосе, боевик, приключение, драма, научная фантастика
57	ВАЛЛ-И	2008	Эндрю Стэнтон	приключенческая киноэпопея, фильм об искусственном интеллекте, компьютерная анимация, антиутопия, фантастический фильм о космосе, приключение, мультфильм, семейный фильм, научная фантастика
58	Помни	2000	Кристофер Нолан	психологический триллер, мистический триллер, фильм-тайна, триллер
59	Индиана Джонс: В поисках утраченного ковчега	1981	Стивен Спилберг	приключенческая киноэпопея, фильм о приключениях в пустыне, фильм о путешествиях, фильм про поиск, боевик, приключение
60	Жизнь других	2006	Флориан Хенкель фон Доннерсмарк	политический триллер, психологическая драма, шпионский фильм, драма, фильм-тайна, триллер
61	Мстители: Война бесконечности	2018	Братья Руссо	фантастический фильм о космосе, супергеройский фильм, боевик, приключение, научная фантастика
62	Бульвар Сансет	1950	Билли Уайлдер	нуар, психологическая драма, фильм про шоу-бизнес, фильм-трагедия, драма
63	Человек-паук: Через вселенные	2018	Боб Персичетти	компьютерная анимация, супергеройский фильм, мистический фильм, подростковый приключенческий фильм, фильм о городском приключении, боевик, приключение, мультфильм, кинокомедия, семейный фильм
64	Свидетель обвинения	1957	Билли Уайлдер	юридическая драма, юридический триллер, фильм про расследование, детектив, драма, фильм-тайна, триллер
65	Тропы славы	1957	Стэнли Кубрик	эпический фильм, киноэпопея о войне, драма, военный фильм
66	Сияние	1980	Стэнли Кубрик	психологическая драма, психологический хоррор, фильм ужасов о сверхъестественном, драма, хоррор
67	Великий диктатор	1940	Чарли Чаплин	кинопародия, сатирический фильм, буффонада, кинокомедия, драма, военный фильм
68	12-я неудача[англ.]	2023	Видху Винод Чопра[англ.]	докудрама, байопик, драма
69	Чужие	1986	Джеймс Кэмерон	фильм о вторжении пришельцев, киберпанк, фантастический фильм о космосе, боевик, приключение, научная фантастика, триллер
